City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
157,sechura,-5.5569,-80.8222,28.76,54,41,6.26,PE,1713210110
158,taldykorgan,45.0156,78.3739,14.7,64,100,1.04,KZ,1713210110
159,al minya,28.1099,30.7503,23.7,26,71,2.79,EG,1713210110
160,slavgorod,52.9978,78.6449,1.6,72,5,3.39,RU,1713210110
161,zhanga buqtyrma,49.6295,83.5248,6.27,75,81,1.17,KZ,1713210111
162,pisco,-13.7,-76.2167,24.03,69,75,8.75,PE,1713210111
163,maintirano,-18.0667,44.0167,26.1,83,40,2.29,MG,1713210111
164,palikir - national government center,6.9248,158.1611,27.44,81,87,4.31,FM,1713210111
165,codrington,-38.2667,141.9667,11.85,90,100,1.83,AU,1713210111
166,kingston,17.997,-76.7936,31.2,72,75,4.12,JM,1713210096
167,ilek,51.5271,53.3831,10.75,93,71,5.95,RU,1713210111
168,isafjordur,66.0755,-23.124,-3.2,86,98,4.44,IS,1713210111
169,rio grande,-32.035,-52.0986,26.06,90,100,10.06,BR,1713209895
170,kuqa,41.7278,82.9364,17.98,17,100,1.64,CN,1713210112
171,endasak,-4.4167,35.5167,16.12,100,100,1.64,TZ,1713210112
172,charters towers,-20.1,146.2667,22.12,80,87,4.6,AU,1713210112
173,kruisfontein,-34.0033,24.7314,19.94,89,54,5.58,ZA,1713210112
174,ta'izz,13.5,44.0,24.91,56,14,1.28,YE,1713210112
175,petropavlovsk-kamchatsky,53.0452,158.6483,0.43,94,75,2.0,RU,1713210112
176,eforie sud,44.0229,28.6494,18.45,67,96,5.84,RO,1713210112
177,yuzhno-kurilsk,44.0306,145.8556,5.76,89,100,4.17,RU,1713210112
178,haiku-pauwela,20.9219,-156.3051,22.8,93,75,8.23,US,1713210112
179,lichuan,30.3,108.85,15.81,95,40,1.18,CN,1713210112
180,ust-nera,64.5667,143.2,-20.31,88,90,1.32,RU,1713210112
181,polyarnyy,69.1989,33.4478,-2.76,88,100,9.6,RU,1713210113
182,medina,24.4686,39.6142,21.24,49,40,11.32,SA,1713209861
183,thompson,55.7435,-97.8558,6.09,70,100,2.06,CA,1713210057
184,baskil,38.5679,38.8238,8.91,55,0,0.56,TR,1713210113
185,fort-shevchenko,44.5086,50.263,13.24,76,100,5.85,KZ,1713210113
186,corato,41.1455,16.4139,22.02,46,100,4.05,IT,1713210113
187,yangambi,0.8102,24.4336,23.01,94,63,0.32,CD,1713210113
188,new norfolk,-42.7826,147.0587,11.51,91,65,1.1,AU,1713210113
189,cidreira,-30.1811,-50.2056,23.28,93,100,11.26,BR,1713210113
190,severo-yeniseyskiy,60.3725,93.0408,-10.6,93,100,3.96,RU,1713210113
191,konarka,19.9,86.1167,29.22,80,0,6.36,IN,1713210113
192,usogorsk,63.4106,48.6872,1.48,96,100,4.4,RU,1713210114
193,kununurra,-15.7667,128.7333,22.99,78,18,2.06,AU,1713210114
194,asosa,10.0667,34.5333,24.95,17,9,0.61,ET,1713210114
195,banda aceh,5.5577,95.3222,27.58,79,66,1.78,ID,1713210114
196,nguigmi,14.2495,13.1092,33.32,9,100,2.88,NE,1713210114
197,waddan,29.1614,16.139,29.38,18,98,5.44,LY,1713210114
198,vila franca do campo,37.7167,-25.4333,18.27,99,100,5.94,PT,1713210114
199,sinabang,2.4803,96.3801,27.17,84,100,1.02,ID,1713210114
200,siracusa,37.0881,15.2792,20.73,59,100,1.82,IT,1713210114
201,kimbe,-5.5502,150.1429,25.0,91,94,1.64,PG,1713210115
202,cadale,2.7603,46.3222,29.78,79,98,6.6,SO,1713210115
203,dalandzadgad,43.5708,104.425,9.6,22,12,4.13,MN,1713210115
204,gonabad,34.3529,58.6837,14.38,53,33,5.33,IR,1713210115
205,enewetak,11.3474,162.3373,27.43,79,61,7.61,MH,1713210115
206,belyayevka,51.3974,56.4096,11.73,86,100,8.03,RU,1713210115
207,cardenas,23.0375,-81.2047,28.42,51,0,7.65,CU,1713210115
208,praia da vitoria,38.7333,-27.0667,17.64,94,75,9.53,PT,1713210116
209,wailua homesteads,22.0669,-159.378,24.3,72,100,2.06,US,1713210116
210,libourne,44.9167,-0.25,13.28,75,95,5.67,FR,1713210116
211,freetown,8.484,-13.2299,28.84,70,20,4.12,SL,1713210116
212,cosala,24.4125,-106.6908,36.94,13,99,4.36,MX,1713210116
213,tobol'sk,58.2,68.2667,1.45,42,7,0.89,RU,1713210116
214,port elizabeth,-33.918,25.5701,21.17,92,75,4.12,ZA,1713210116
215,olinda,-8.0089,-34.8553,29.85,79,40,5.14,BR,1713210091
216,kill devil hills,36.0307,-75.676,27.01,44,0,7.72,US,1713209916
217,san vicente,-26.6167,-54.1333,21.92,97,100,2.85,AR,1713210116
218,geraldton,-28.7667,114.6,19.23,55,0,2.57,AU,1713210116
219,alaghsas,17.0187,8.0168,31.33,13,34,5.93,NE,1713210117
220,saint-joseph,-21.3667,55.6167,24.21,86,96,6.86,RE,1713210117
221,labytnangi,66.6572,66.4183,-5.35,97,100,2.73,RU,1713210117
222,port alfred,-33.5906,26.891,20.1,95,69,1.79,ZA,1713210117
223,motygino,58.1831,94.7592,-1.77,86,100,4.5,RU,1713210117
224,saipan,15.1355,145.701,26.39,83,75,2.57,MP,1713209937
225,sitka,57.0531,-135.33,6.94,65,0,2.06,US,1713210117
226,taoudenni,22.6783,-3.9836,28.15,16,0,3.72,ML,1713210117
227,marrakesh,31.6315,-8.0083,30.04,14,0,3.6,MA,1713210051
228,turkestan,43.3333,68.25,14.29,87,100,3.79,KZ,1713210117
229,burlington,39.8835,-74.6413,29.9,36,0,5.66,US,1713210048
230,vernon,50.2581,-119.2691,18.2,36,100,2.57,CA,1713210110
231,holdrege,40.4403,-99.3698,28.04,51,75,12.86,US,1713210117
232,arraial do cabo,-22.9661,-42.0278,26.98,83,0,8.75,BR,1713209823
233,wakkanai,45.4094,141.6739,8.27,71,98,4.21,JP,1713210118
234,abu jibeha,11.4562,31.2285,32.35,10,81,3.58,SD,1713210118
235,mossel bay,-34.1831,22.146,16.96,91,58,7.66,ZA,1713210118
236,brokopondo,4.75,-55.1667,27.86,84,34,4.39,SR,1713210118
237,anadyr,64.75,177.4833,-19.72,76,100,7.0,RU,1713210118
238,mejit,10.2753,170.8646,27.01,84,37,8.83,MH,1713210118
239,veydelevka,50.1521,38.4492,10.17,82,100,4.45,RU,1713210118
240,el calafate,-50.3408,-72.2768,13.79,54,98,1.83,AR,1713210118
241,chernyshevskiy,63.0128,112.4714,-0.32,99,100,2.11,RU,1713210119
242,guazacapan,14.0742,-90.4167,31.27,31,27,5.91,GT,1713210119
243,suomussalmi,64.8869,28.9078,0.91,99,100,2.97,FI,1713210119
244,kerikeri,-35.2268,173.9474,13.32,89,8,1.48,NZ,1713210119
245,tangalle,6.024,80.7911,27.0,85,97,4.26,LK,1713210119
246,punta arenas,-53.15,-70.9167,19.01,67,0,5.14,CL,1713209997
247,sale,34.0389,-6.8166,20.38,52,20,4.63,MA,1713210119
248,whitehorse,60.7161,-135.0538,1.72,43,75,3.09,CA,1713210119
249,zarghun shahr,32.8473,68.4457,7.62,61,0,6.3,AF,1713210119
250,amga,60.8953,131.9608,-14.76,99,100,1.37,RU,1713210119
251,carroll,39.5501,-77.0164,28.17,46,0,4.63,US,1713209908
252,santa cruz,-17.8,-63.1667,20.03,88,100,3.09,BO,1713209907
253,pemangkat,1.1667,108.9667,26.22,88,100,3.08,ID,1713210120
254,vilyuysk,63.7553,121.6247,-5.0,89,95,4.02,RU,1713210120
255,mahenge,-8.6833,36.7167,18.38,88,100,1.03,TZ,1713210120
256,vorgashor,67.5833,63.95,-4.55,96,100,6.79,RU,1713210121
257,peniche,39.3558,-9.3811,15.62,87,4,9.66,PT,1713210121
258,miyang,24.4042,103.4428,17.72,49,0,2.01,CN,1713210122
259,fisterra,42.9049,-9.2629,13.19,78,9,9.76,ES,1713210122
260,college,64.8569,-147.8028,1.72,56,20,1.54,US,1713209920
261,revda,56.801,59.9303,3.05,79,33,3.69,RU,1713210122
262,nema,57.5067,50.5011,6.76,85,100,7.75,RU,1713210123
263,vilyuchinsk,52.9306,158.4028,1.25,84,100,0.52,RU,1713210123
264,midland,31.9974,-102.0779,31.38,34,0,7.72,US,1713209925
265,san antonio de pale,-1.4014,5.6325,28.32,83,13,4.76,GQ,1713210123
266,byron bay,-28.65,153.6167,16.51,88,100,2.13,AU,1713210123
267,horsham,51.064,-0.3272,9.11,59,20,8.23,GB,1713210124
268,polohy,47.4844,36.2536,15.48,91,100,2.56,UA,1713210124
269,aberdeen,57.1437,-2.0981,7.33,88,100,8.75,GB,1713209927
270,avarua,-21.2078,-159.775,27.03,78,75,7.72,CK,1713209997
271,st. john's,47.5649,-52.7093,11.66,62,75,8.23,CA,1713209947
272,filipstad,59.7124,14.1683,2.77,62,83,2.4,SE,1713210124
273,chipinge,-20.1883,32.6236,14.03,91,0,2.72,ZW,1713210125
274,kirakira,-10.4544,161.9205,27.39,88,100,5.55,SB,1713210125
275,santa isabel,-23.3156,-46.2214,28.84,97,100,0.99,BR,1713210125
276,lakatoro,-16.0999,167.4164,27.26,82,100,8.35,VU,1713210125
277,grand falls-windsor,48.9332,-55.6649,12.5,56,86,3.58,CA,1713210125
278,aracati,-4.5617,-37.7697,28.36,76,81,2.79,BR,1713210126
279,ambodifotatra,-16.9833,49.85,27.28,80,72,6.96,MG,1713210126
280,andergrove,-21.0833,149.1833,24.25,78,18,6.8,AU,1713210126
281,maragogi,-9.0122,-35.2225,26.97,86,41,3.08,BR,1713210126
282,bakchar,57.0186,82.0711,-9.54,97,53,0.84,RU,1713210126
283,yeed,4.55,43.0333,31.53,50,100,4.05,SO,1713210126
284,carrigaline,51.8117,-8.3986,7.86,70,75,7.72,IE,1713210126
285,gwadar,25.1216,62.3254,25.64,70,100,2.86,PK,1713210127
286,carnarvon,-24.8667,113.6333,24.47,48,16,3.65,AU,1713210127
287,galesburg,40.9478,-90.3712,26.12,30,0,4.12,US,1713210127
288,tolanaro,-25.0319,46.9987,21.04,94,75,4.63,MG,1713210127
289,papao,-17.75,-149.55,28.82,87,100,9.76,PF,1713210127
290,howrah,22.5892,88.3103,30.0,79,20,4.63,IN,1713210127
291,mogocha,53.7333,119.7667,-8.98,96,8,1.4,RU,1713210128
292,lebu,-37.6167,-73.65,16.73,72,10,5.41,CL,1713210128
293,khandyga,62.6667,135.6,-19.99,99,100,0.6,RU,1713210128
294,sangmelima,2.9333,11.9833,21.57,97,22,0.85,CM,1713210128
295,quellon,-43.1167,-73.6167,14.65,77,52,5.67,CL,1713210128
296,nova sintra,14.8667,-24.7167,22.92,87,0,6.93,CV,1713210128
297,al ghayzah,16.2079,52.176,27.73,79,7,7.41,YE,1713210128
298,prado,-17.3411,-39.2208,25.75,83,100,5.47,BR,1713210129
299,matadi,-5.8167,13.45,26.91,90,59,1.4,CD,1713210129
300,kasongo,-4.45,26.6667,20.7,92,82,0.83,CD,1713210129
301,mahriz,31.5917,54.4318,19.28,29,71,0.98,IR,1713210129
302,ondo,7.1,4.8333,24.05,94,100,0.53,NG,1713210129
303,al fqih ben calah,32.5009,-6.6906,26.4,29,100,7.44,MA,1713210129
304,klyuchi,52.2667,79.1667,2.76,74,10,4.25,RU,1713210129
305,remire-montjoly,4.9167,-52.2667,31.02,70,100,5.66,GF,1713210126
306,camayenne,9.535,-13.6878,29.05,65,0,5.14,GN,1713210129
307,barra de santo antonio,-9.4047,-35.5072,30.6,79,16,3.43,BR,1713210130
308,nicoya,10.1483,-85.452,37.34,28,20,3.01,CR,1713210130
309,kokuy,52.2037,117.5529,-0.51,88,2,1.1,RU,1713210130
310,kidal,18.4411,1.4078,26.84,13,73,4.87,ML,1713210130
311,kani keli,-12.9536,45.1033,27.59,72,100,1.91,YT,1713210130
312,arkhangel'sk,64.5401,40.5433,3.06,100,100,3.0,RU,1713210130
313,hadibu,12.65,54.0333,27.28,75,62,3.26,YE,1713210130
314,amahai,-3.3333,128.9167,26.22,86,100,1.7,ID,1713210131
315,turpan,42.9333,89.1667,20.74,12,84,1.23,CN,1713210131
316,turochak,52.2576,87.1224,7.47,90,100,1.53,RU,1713210131
317,padang,-0.9492,100.3543,27.03,89,100,2.08,ID,1713210131
318,awjilah,29.1081,21.2869,26.03,16,100,4.34,LY,1713210131
319,kapuskasing,49.4169,-82.4331,9.0,31,75,9.77,CA,1713210131
320,peace river,56.2501,-117.286,10.17,43,75,7.2,CA,1713210131
321,poli,-3.3333,36.8,15.09,94,100,1.02,TZ,1713210132
322,sorsk,54.0033,90.2467,-0.01,91,10,2.32,RU,1713210132
323,alma,48.5501,-71.6491,13.07,38,96,3.05,CA,1713210132
324,pacifica,37.6138,-122.4869,18.02,75,75,3.6,US,1713210070
325,port lincoln,-34.7333,135.8667,14.37,80,2,3.57,AU,1713210132
326,nar'yan-mar,67.6713,53.087,0.06,100,100,4.02,RU,1713210132
327,grootfontein,-19.5667,18.1167,22.34,59,99,2.18,NA,1713210132
328,salahonda,2.1019,-78.7217,26.84,85,100,4.4,CO,1713210132
329,island harbour,50.724,-1.2758,8.32,78,71,4.02,GB,1713210132
330,yantongshan,43.2919,126.0094,6.79,90,7,2.85,CN,1713210133
331,taltal,-25.4,-70.4833,18.86,56,0,1.88,CL,1713210020
332,port hueneme,34.1478,-119.1951,21.29,68,0,4.63,US,1713210133
333,okahandja,-21.9833,16.9167,21.16,31,95,4.3,NA,1713210133
334,kutum,14.2,24.6667,25.24,11,99,4.19,SD,1713210133
335,coronel dorrego,-38.7187,-61.2873,18.44,97,100,6.77,AR,1713210133
336,newnham,-41.3833,147.1333,7.59,93,100,2.06,AU,1713210133
337,utrik,11.2278,169.8474,26.96,82,52,8.83,MH,1713210133
338,colonia,50.9333,6.95,7.12,82,50,6.36,DE,1713209987
339,iquique,-20.2208,-70.1431,23.02,78,5,5.86,CL,1713210071
340,kodinsk,58.6881,99.1844,3.02,99,100,5.2,RU,1713210134
341,buka,40.8108,69.1986,14.2,88,100,1.55,UZ,1713210134
342,malvan,16.0667,73.4667,28.0,81,37,2.97,IN,1713210134
343,madalena,41.2162,-8.3345,18.59,74,0,0.45,PT,1713210134
344,hilo,19.7297,-155.09,28.49,82,0,2.06,US,1713209940
345,chinde,26.8418,88.0763,20.66,40,76,2.95,NP,1713210134
346,dhidhdhoo,6.8833,73.1,29.38,75,100,1.56,MV,1713210134
347,soto la marina,23.7667,-98.2167,37.15,31,98,9.31,MX,1713210134
348,bousso,10.4795,16.7117,37.71,20,96,2.68,TD,1713210134
349,alice springs,-23.7,133.8833,9.75,76,33,3.09,AU,1713210010
350,mangrol,21.1167,70.1167,28.51,60,99,9.29,IN,1713210134
351,portland,45.5234,-122.6762,14.12,64,75,3.6,US,1713210017
352,farasan,16.7022,42.1183,28.48,70,38,4.61,SA,1713210135
353,mana,5.6592,-53.7767,27.84,78,100,5.4,GF,1713210135
354,anori,-3.7728,-61.6442,28.1,92,100,1.32,BR,1713210135
355,al bawiti,28.3492,28.8659,22.36,26,65,4.1,EG,1713210135
356,alesund,62.4723,6.1549,7.08,65,0,5.66,NO,1713210135
357,novaya igirma,57.1334,103.9112,4.27,96,100,3.13,RU,1713210135
358,manaus,-3.1019,-60.025,32.27,66,40,3.6,BR,1713209925
359,tsiombe,-25.3,45.4833,21.7,78,24,6.56,MG,1713210135
360,tezonapa,18.6092,-96.6917,35.89,26,100,2.41,MX,1713210136
361,emet,39.343,29.2585,16.29,33,0,2.34,TR,1713210136
362,esquina,-30.0144,-59.5272,18.04,91,100,3.02,AR,1713209994
363,megion,61.0296,76.1136,-11.99,87,9,3.5,RU,1713210136
364,kattivakkam,13.2167,80.3167,29.05,77,97,3.92,IN,1713210136
